challenge_id,challenge_title,mission,challenge_question
115,En una palabra,1,¿Qué palabra o frase que mejor describe lo que sientes por el punto?
116,Ojalá estuvieras aquí!,1,"El punto está lleno de lugares increíbles, algunas hermosas y alegres, otras extrañas y sorprendentes. Si tuviera que hacer una postal del Punto, ¿qué te pones así? Sube una foto, compartir un video, o lo describimos."
118,Primera parada ...,1,"Si se le preguntara a dar una visita guiada por el punto, ¿por dónde empezar? Coloque un alfiler en el mapa indicando donde comenzaría la gira, y explicar su elección. ¿Dónde podría ir desde allí?"
122,Conoce a Charles,1,"Carlos ha estado en todas partes de la ciudad de Salem, pero todo el mundo conoce le dice que se mantenga alejado de la punta. El guía turístico fantasma le dijo que no es una zona muy atractiva, y es peligroso caminar por el vecindario, especialmente de noche. ""El punto no es digno de visitar"", dice. Explique por qué Charles está mal, o por qué tiene razón."
125,De primer nivel Atracciones,1,¿Cuáles son las principales atracciones de la vecindad (tanto para los visitantes y las personas que ya viven allí)? Seleccione todos los que apliquen.
126,Hermosa Salem,1,"Adjunte una foto, compartir un video, o describir un lugar en el punto que se considera hermoso, y explicar por qué."
130,Punto de Orgullo,1,Cuéntanos acerca de una vez que se sentía orgulloso de donde vive (incluso si usted no vive en el Punto). ¿Qué crees que te haría más orgulloso de su barrio?
132,¿Dónde está el punto?,1,"Tómese un momento para mirar el mapa de la zona (haga clic en el icono de la izquierda para iniciar el mapa). Le preguntamos a algunas personas en el punto de lo que pensaban que eran los límites del barrio. Este mapa ha sido desarrollado con sus comentarios. ¿Está de acuerdo con los límites? Si usted no esta de acuerdo de que es exacta, ¿qué cambiarías y por qué?"
133,Desvío,1,"¿Qué es un lugar que nunca tomaría un visitante en el punto? Coloque un alfiler en el mapa para ver la ubicación y, a continuación, explicar por qué lo elegiste."
137,Día de Compras,1,"Es hora de ir de compras. Su refrigerador está quedando vacío, su despensa está quedando sin grapas, y ahora que lo pienso de ella, se necesita un tubo de pasta de dientes y un perscription lleno, también. ¿Dónde vas a conseguir todas estas cosas? Si usted vive en el Point, a qué distancia se necesita para viajar, y ¿cómo llegar? Si usted no vive en el punto, ¿dónde crees que un residente Point tendría que ir?"
138,Noticias de última hora,1,"Imagínese que usted ha pedido que escriba un artículo sobre algo que sucedió en el Punto para las noticias de Salem. ¿Qué le informar? Usted puede elegir cualquier evento desde el año pasado, aunque parezca menor a otros, o nadie más informado al respecto. Escriba un título y subir o describir una foto para acompañar su artículo imaginaria. Si lo desea, puede explicar más acerca de tu artículo en su comentario."
139,The End?,1,"La última parada de su gira por el momento debe ser un lugar que es importante para ti, y que resume lo que el punto es realmente todo. Coloque un alfiler en el mapa en el lugar que pondría fin a la gira, y explicar su elección."
141,Para una mejor ...,2,"¿Vive o trabaja en el punto? Si no es así, imaginemos por un momento que usted lo hace. ¿Qué te gusta de vivir y trabajar aquí? ¿Cuáles son las ventajas y positivos? Si es posible, incluir una foto que muestra lo mejor sobre el punto."
144,O para mal ...,2,"¿Vive o trabaja en el punto? Si no es así, imaginemos por un momento que usted lo hace. ¿Qué es lo que menos le gusta de vivir y trabajar aquí? ¿Cuáles son las desventajas y desafíos? Si es posible, incluir una foto que muestra algo acerca del punto de sentir tiene que cambiar."
147,Elegidos para la gloria,2,¿Cuáles son algunos bienes y servicios que usted piensa que son fácilmente disponibles en el Punto? ¿Qué bienes y servicios cree usted que los residentes Point necesidad de salir del barrio de encontrar?
149,Cinco Estrellas Sabor,2,"¿Cuál es tu lugar favorito para comer en el punto? Ponga una señal en el mapa para enseñarnos dónde ir para chow abajo, y explicar lo que hace tan especial."
151,Conoce a Timoteo,2,"Durante años, el hermano Timoteo ha logrado mantener su tienda de electricista en la calle del congreso abierto, pero últimamente, el negocio ha caído. Él tiene que atraer a más clientes o pensar en mudarse a una nueva ubicación. ¿Cuál crees que es la mejor manera de ayudar a Timoteo y su hermano?"
154,Mirar alrededor,2,Piense en la última vez que caminaba o conducía por el punto. ¿Has visto algo que cambiarías si pudieras? ¿Cómo cambiaría lo que viste?
155,La seguridad ante todo,2,¿Alguna vez ha caminado o impulsado por el punto y me sentí inseguro o intimidado? ¿Y la situación parecía peligroso o malo?
160,Problemas en la calle de Timoteo,2,"Uno de los vecinos de Timoteo ha sido desalojado de su apartamento y le ha pedido ayuda. El vecino será sin hogar si no encuentra un lugar donde quedarse, rápido. ¿Dónde puede ir? Si usted fuera a Timoteo, ¿qué le dirías?"
164,Clean Sweep,2,"Agregar más botes de basura en un área es una manera de reducir la basura. Si pudieras colocar botes de basura en cualquier lugar del punto, ¿dónde ponerlos? Elija el lugar al que los necesita más, y ponga un alfiler en el mapa. Usa tu comentario para explicar su elección, y ofrecer otras sugerencias."
170,Servicios de Gobierno,2,"¿En qué crees que el gobierno de la ciudad de Salem está haciendo para cumplir con las necesidades de las personas que viven en el Point? Explica en tu comentario, o sugerir mejoras."
189,Conoce a Freddy,3,Freddy ha sido expulsado del equipo de baloncesto. ¿Qué otras posibilidades hay en el barrio de las actividades después de la escuela?
193,Sólo por Diversión,3,"Después del trabajo, después de clases y en sus días libres, donde sueles ir para divertirse? Ponga una señal en el mapa para mostrarnos su lugar favorito para pasar el rato. Usa tu comentario para decirnos por qué te gusta ir allí."
194,Aventurarse,3,"¿Qué actividades divertidas y recreativas ¿necesita salir de su barrio para encontrarlo? ¿Qué tipo de tiendas, restaurantes, clubes o lugares que más te gustaría ver abierto cerca de usted?"
198,Un lugar ideal,3,Piensa en el tipo de lugares que les gusta ir a divertirse y relajarse. ¿Cuál de las siguientes características son las más importantes para usted? Elija tres.
200,PARK (ing) Day,3,"PARK (ing) Day es un evento anual en todo el mundo donde artistas, diseñadores y ciudadanos transformar los puntos temporales medidos aparcamiento en los parques públicos. Si se va a transformar los espacios de aparcamiento en el punto de partida para un día que los sitios usarías y qué harías?"
201,Conoce a Linda,3,"Hijos de Linda son de 3 y 4 años de edad. Es fin de semana, y ella está buscando un lugar para llevar a sus hijos a jugar. ¿Hay algún lugar en el barrio puede ella ir a relajarse y pasar un buen rato con sus hijos? ¿Dónde?"
204,Block Party 1,3,"Imagínese que usted está planeando una fiesta grande en el Point. Usted quiere mantenerlo alejado de la ruta del desfile para asegurarse de que la diversión se extiende alrededor. Ponga una señal en el mapa para mostrar donde tendría el partido, y explicar por qué en tu comentario!"
205,Block Party 2,3,"El Grupo de bloque grande se acerca, y le han pedido para ayudar a que sea lo más divertida posible. ¿Cuál debe ser como el partido? ¿Qué va a estar ahí? Cargar una foto o un vídeo para mostrarnos su idea de un buen momento, y describir el partido en su comentario."
206,Conoce a Maria (Block Party 3),3,"María se acerca al Partido Big Block estás pensando, y ella quiere llevar a sus hijos enteros n de la familia, nietos, primos y así sucesivamente ... un grupo muy diverso! ¿Qué hará usted para asegurarse de que el partido es divertido y atractivo para todo el mundo?"
256,Prioridades de Vivienda,2,Algunas personas creen que la calidad de la vivienda es un problema en el Point. ¿Qué cree usted que las prioridades de desarrollo de vivienda de financiación deben estar en el punto? Marque todas las que apliquen.
257,Perspectivas,2,"Si la ciudad fuera a invertir más recursos en el Punto para las empresas y puestos de trabajo, lo que crees que debería priorizar?"
259,Posición Your Park,3,"¿Cómo calificaría la calidad del medio ambiente natural (espacios abiertos, árboles, parques) en el barrio? Por favor, explica en su comentario."
261,Moverse,3,"Es viernes por la noche, y usted es libre de hacer lo que quieras. ¿Quieres ir a algún lugar en el punto? ¿Por qué o por qué no? ¿Dónde vas a ir y cómo llegar allí?"
262,Canícula,3,"Sin contar el trabajo, ¿con qué frecuencia usted pasa tiempo al aire libre del verano pasado (en un parque, caminar por la playa, salir con los amigos fuera, andar en bicicleta, etc)?"